Title,Comment
Lovestruck in the City,Damn I love this series. I've watched this like 100times. And I keep coming back to this video😅
Lovestruck in the City,"Top Tier chemistry. Almost like acting. And heck, Swoon didn't include that second kiss ...😒"
Lovestruck in the City,Where i can watch this drama ? Can any one help out?
Lovestruck in the City,"this is my favourite drama, love their chemistry and everything"
Lovestruck in the City,اسم المسلسل بالعربي
Lovestruck in the City,"Awwwww everytime i come back, it's always freaking good 😩"
Lovestruck in the City,"Frumos, super actor JCW, îl ador!❤️"
Lovestruck in the City,It's hard for me to watch this drama because I ship ji-won with park seo-joon while chang-wook with nam ji-hyun 😭
Lovestruck in the City,Where can I watch this drama ply anyone could tell me
Lovestruck in the City,Congrats10M😭
Lovestruck in the City,They both are gorgeous
Lovestruck in the City,The situation they have created is really wonderful
Lovestruck in the City,She is the true representation of denying
Lovestruck in the City,Do they end up together?
Lovestruck in the City,LA MEJOR ESCENA DE BESO! NUNCA VI TANTA TENSIÓN EN MI VIDA
Lovestruck in the City,Ajooooo
Lovestruck in the City,One of the best scenes out there
Lovestruck in the City,What is the name of the series
Mystic,Esto cambia que el jueves haya update semanal o habrá normal como siempre? 🤔
Mystic,"Cockstar

Actualizar GTA TRILOGY y corregir bugs: ✖️✖️✖️
Parchear glitches de dinero en GTA Online: ✅"
Mystic,Con razón ya no he visto a los godmode jajajaja
Mystic,El jueves habrá más movimientos??
Mystic,Y que pasa con el golpe del casino el error que hay cuando llegas al final del túnel
Mystic,"Y que pasa si tengo un historial lleno de troleos a modders en 2020, 2021 y 2022 (Obviamente no gravados).
que pasa con mi cuenta (de PC) actualmente, cuando quiero entrar a jugar me dice ""revise la conexión de internet"" la reviso y esta todo bien (tengo un poco de miedo)."
Mystic,"gracias por la info, un saludo."
Mystic,No han dicho nada si arreglaran el Freezer Money?
Mystic,"Apenas vi que había actualización Me fije si el pana mystic Había Subido video de la actualización Y.... Si, gran video mystic 😉"
Mystic,Nose si a alguien mas le ah pasado...pero después kq actualize me eh encontrado con varios Bugs...en una ocasión el kosatka no me dejaba entrar y cuando me acercaba a el mi personaje se quedaba paralizado y se distorsionaban las texturas...y en el casino me hiso algo parecido...
Mystic,"Ufff más seguridad menos mal, gracias Rockstar y gracias Mystic por informar como siempre"
Mystic,se puede jugar a gta online
Mystic,Es obligatorio actualizar y una vez actualizado se pierde la cuenta principal o no
Mystic,que se puede hacer para evitar el bug que te echa de la partida en el golpe al casino
Mystic,"Buenas Mystic, mi pregunta no tiene nada que ver con este video pero no logro encontrar la respuesta, ¿para qué sirve quitar el internet al terminar Cayo Perico?"
Mystic,"Hola mystic y a todos los feligreses de este gran canal.
Necesito vuestra ayuda estoy haciendo un garaje de 10 plazas de tematica gasser/hot rod/drag.
Lo que quiero es que todos tengan la pintura oxidada.
De momento tengo el hermes,peyote tulipm100, wheevil del benny's.
Mi pregunta es que coches del gtav online disponen de esa pintura aparte de los ya mencionados?
Hay algun tipo de lista?
Gracias de antemano familia! Salu2."
Mystic,Seria bueno cambiar la contraseña del social club ?
Mystic,Yo si he notado en ps4 una leve mejoria en rendimiento en el online
Mystic,"Yo tengo un error sobre encontrar el último coleccionable (los muñecos). El número 99 y 100 que se encuentran en el mismo lugar y cuando voy, no están."
Mystic,"""en este vídeo les traigo un nuevo vídeo"" la intro más épica, la amo"
Sweet Home,"Катя, спасибо за ролик😍вдохновилась) снимай и дальше такую рубрику ❤️"
Sweet Home,"Катюша здравствуйте. Очень понравилось видео. Смотрим во влогах как ты что то готовишь и очень хочется повторить , но потом нужно искать .А так зашёл на страницу и вуаля рецепт здесь😁."
Sweet Home,"Вкуснятина ❤️
Спасибо за идею"
Sweet Home,Ой как хорошо. Какие вкусные и легкие рецепты спасибо Катя.  и про щипцы когда ты раньше пользовалась и я купила классная штука аш два купила
Sweet Home,"Як раз потрібні нові ідеї для приготування вдома, супер) дякую за відео!"
Sweet Home,"Спасибо, супер идеи. Ждем следующие ролики!!!"
Sweet Home,"катєнька зроби рецепти по дешевше , бо люди он пишуть що в них немає аж 200 рублєй на банку тунца , вони на расєє звикли жрать тільки пахльобку , а ти їм самсунгі впіхаєш🤣"
Sweet Home,"Мимоза, подача и вкус👍"
Sweet Home,К тыквенному супчику ещё сухарики👍
Sweet Home,все рецептиы супер умничка
Sweet Home,ай какая молодец Катюша🤗
Sweet Home,"Катя ты продажная и не приятная, на голове мешок волос, дети не воспитанные, Аня в папу нормальная по поведению, Ваня каблук настоящий, поставить тебя на место всё не может, ты всех блокируешь, видимо глаза правда бьёт тебе, выглядиш хуже и хуже и за фигурой не следишь, хотя чешишь знатно про то как ты себя в руке берёшь. Наживаться на обычных людях и просмотрах низко и рекламы выставлять постоянно, ради них тока и снимаешь. Ты скатилась на дно. Бумеранг тебе в лицо."
Sweet Home,"Катюша! У Вас золотые руки! Так вкусно выглядит! Уверена, что  и на вкус обалденно❤"
Sweet Home,❤️❤️❤️❤️❤️❤️❤️
Sweet Home,Спасибо❤
Sweet Home,🤤
Sweet Home,"Рецепты классные,но какой же скудный словарный запас😢"
Sweet Home,Что-то много рекламы постоянно
Sweet Home,Спасибо большое за рецепты!👌👍
Sweet Home,А почему не на семейной кухне видео?
Paava Kadhaigal,Andha jadhi inam makkal kootam nu solravana pathale..... Verati verati velukka thonudhuu.
Paava Kadhaigal,Official trailer and 5M views...glad that only few are gay as*holes...
Paava Kadhaigal,Release date pls on year
Paava Kadhaigal,where can i watch this movie
Paava Kadhaigal,GVM could have performed better . So a director cannot be good actor 🤔
Paava Kadhaigal,Sathar story was heart breaking
Paava Kadhaigal,Leave people alone for god sake
Paava Kadhaigal,Me ha encantado esta serie llore en cada capítulo ☄️☄️
Paava Kadhaigal,This is best anthology  I ever liked...out of all OTtS ..all stories are so good..
Paava Kadhaigal,"This is wat is called talent ka dhamaka ❤ 
Bollywood is simply a hype..."
Paava Kadhaigal,Hindi m kabh dakh no Ko miilgee
Paava Kadhaigal,Farr better then overrated NAVARASA
Paava Kadhaigal,"காளிதாஸ், sai பல்லவி, பொன்னுத்தாயி அண்ணன் ( பெயர் தெரியலை) , உயரம் குறைந்த வில்லன் .... அருமையான நடிப்பு."
Paava Kadhaigal,"Absolutely loved Oor Iravu. Sai Pallavi talking to her kid when she's about to die, just made me tear up so bad."
Paava Kadhaigal,കണ്ണൻ മലയാളികളുടെ കണ്ണൻ❤️😊
Paava Kadhaigal,"2021 la pathavanga like podunga 🤙
My fav is oru iravu,  really nice acting 🥰🙏🏻👌"
Paava Kadhaigal,Bahut achchi movie
Paava Kadhaigal,"High tamil feeling is the reason for such over confidence and pride.
They should tone down their bias and should be more open minded. That makes them not so overconfident"
Paava Kadhaigal,"Paava Kadhaigal ( sinful Tales ) 💝
This is the best series in the Tamil industry. I do not know how to explain this. Because you have to see and experience it as your own. Paava Kadhaigal is a 2020 Indian Tamil-language anthology drama film directed by Sudha Kongara, Gautham Menon, Vetrimaaran and Vignesh Shivan. Through four unique stories, the film explores how pride, honour, and sin influence complex relationships of love.

Tittle : Thangam 
Director : Sudha kongara
Cast : Kalidas, bhavani Sri, Shantanu bagyaraj

Tittle : Vaanmagal
Director : Gautham Vasudev Menon
Cast : Aditya Baskar, Gautam, Simran, 

Tittle : Love Panna Uttranum
Director : Vignesh Shivan
Cast : Anjali, Kalki koechlin, Jaffer sadiq

Tittle : Oor Iravu
Director : Vetri maran
Cast : Sai pallavi, Prakash Raj,

Music directors : Justin Prabhakaran, Anirudh Ravichander, Karthik

💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"
Paava Kadhaigal,All these movies are so adorable 👍👍👍👍🙏🙏🙏🙏❤️❤️❤️
Diamond City,"Track List:
00:00 - Right Behind You Baby
02:24 - Uranium Fever
04:47 - Rocket 69
07:30 - Whole Latte Shakin' Going On
10:20 - Good Rockin Tonight
13:21 - Dear Hearts And Gentle People
15:32 - Personality
18:21 - Accentuate The Positive
21:03 - Pistol Packin' Mama
24:03 - Sixty Minute Man
26:34 - Grandma Plays The Numbers
29:14 - Easy Living
32:16 - I Don't Want to Set the World on Fire
35:21 - Wonderful Guy
37:15 - Civilization
40:20 - Mighty, Mighty Man
42:53 - Undecided
46:14 - Butcher Pete (part 1)
48:41 - Anything Goes
51:51 - It's All Over But the Crying
54:40 - Orange Colored Sky
57:11 - The Wanderer
01:00:09 - Worry, Worry, Worry
01:02:34 - Crazy He Calls Me
01:05:48 - He's A Demon, He's A Devil, He's A Doll
01:09:01 - Atom Bomb Baby
01:11:18 - Uranium Rock
01:13:25 - Into Each Life Some Rain Must Fall
01:16:33 - Crawl Out Through The Fallout
01:18:55 - Keep A Knockin
01:21:24 - Butcher Pete (part 2)
01:24:05 - One More Tomorrow
01:27:24 - It's A Man
01:29:49 - It's The End Of The World
01:32:27 - Maybe
01:35:20 - Way Back Home
01:38:18 - Happy Times"
Diamond City,my back hurt. my feet hurt. everything hurts
Diamond City,I'm gonna add this to my work playlist
Diamond City,"Me trying to sleep

My brain: bingo bango bongo I’m so happy in the jungle i refuse to goooo"
Diamond City,Ahh. Placing a radio for my sanctuary peeps while building 100 automated missile turrets around the neighborhood. Good times 😌
Diamond City,Nothing is more satisfying when you are beating the guts out of some ghouls and listening to Atom Bomb Baby. change my mind....
Diamond City,世界観とゲーム性がすごい好きで狂ったように土日オールしちゃうほどハマったゲームです、バグ多かったけど笑
Diamond City,2023 and still listening 🕺💃
Diamond City,So many of these songs brings back fallout 3's memory. I just started FO4 and came across this radio station.
Diamond City,I Don't Want to Set the World on Fire..... and done
Diamond City,"If the world was this advanced, surly the government could just go and live in space instead of staying to get nuke'd"
Diamond City,le jammin music :)
Diamond City,19:47 - Did this lady say the gamer word??
Diamond City,This hits hard not gonna lie.
Diamond City,57:11 fire
Diamond City,There’s so much nostalgia ties with these songs for me
Diamond City,32:16 is the best song for OGs like me it has a place in my heart like no other anyone else?
Diamond City,is it normal that I have like every single one of these songs memorized?
Diamond City,Had Covid earlier this year and I spent the whole week with a fresh file of FO4 and boy oh boy does this soundtrack absolutely slap to this day.
Diamond City,I'm no spring chicken but hot diggity dog boy this sure does jam.
Schulz Saves America,This guy needs a daily talk show on Netflix
Schulz Saves America,Why is this clip so explicitly right wing?
Schulz Saves America,"Socially we aren't that bad. But politically, economically, healthwise, we are a shithole. A 3rd world country with iphones."
Schulz Saves America,Meanwhile in Texas the history books rebrand slaves as migrant workers
Schulz Saves America,"Love the way he spelled « laisser-faire », I'm glad that I'm Algerian, so I can easily understand few languages"
Schulz Saves America,LOL. Droning along was the best bit.
Schulz Saves America,"It's so true. Just went on a Batchelor party trip to Tennessee, and the other guys let the fact that we were in the south RUIN the trip. They saw racism everywhere we went. Shit talked literally everyone we met with an accent after they were out of earshot. It was insufferable. Too much mainstream media"
Schulz Saves America,"He's totally right. Trump knows how to create the tidal wave on CNN and MSNBC and he believes any publicity is good publicity. And they continually fall for it. But he's in control, because bashing him gets them ratings, and helps get him votes. But they just can't stop"
Schulz Saves America,That WAS an amazing joke!!
Schulz Saves America,"Thanks I’m writing an essay on this topic rn, hoping to write a book in the future about the things good and bad about America and comparisons"
Schulz Saves America,ur so right and i live in it and i already know its crazy but  im 8 in real life and i its nice most of the time
Schulz Saves America,This didn’t age well… instead of thinking you know politics and or grifting to get on Netflix after saying you didn’t want it is proof enough. This is what you get when your best friend is a Chile molester and he’s the only person you’ve never called out because Schulz is also a scumbag
Schulz Saves America,The USA is the most pathologic enterprise which has ever existed. Capitalism is pure evil
Schulz Saves America,This dude isn’t funny
Schulz Saves America,Finally someone talks about us the right way in Texas
Schulz Saves America,Exactly!
Schulz Saves America,"As a Texan, 100% agree. It’s the most diverse place ever. Especially politically"
Schulz Saves America,Unfortunately it really is that bad 😔
Schulz Saves America,Yo Andrew - that was a fucking amazing joke
Schulz Saves America,MAGA Wooooo yeah baby that's what I've been waiting for let's gooo
Tornado,"Its just weather.
It happens every year."
Tornado,ربي يسعد أيامك ويوفقك ويسهل لك كل خير ويرضئ عليك وعلى وألديك دنياء وآخره ويجبر بخاطرك ويستر عليك ويحقق لك كل مافي نفسك ويصلح حالك وأحوالك وأولادك وأهلك ويرزقك من حيث لا تحتسب ويرزقك اولاد الحلال و الصبر ورحمة والعفو والعافيه والصحه والرضى والنجاح الفردوس الأعلى من الجنة يالله يارب ويسخر لك القلوب القاسية والرقيب العاصيه ويفرج همك وغمك وحزنك وضيقك ويحميك ويخليك ويحفظك من كل شر وبلاى وسوى ومكروه الله ينور طريقك وقلبك الله يبيض وجهك و يشرح صدرك و يرفع قدرك و يعلي كلمتك و يوفقك في حياتك و يقض عنك دينك و يوسع في رزقك و يبارك لك في عمرك و يجعل محبتك في قلوب عباده و يسخر لك من تعرف و من ﻻتعرف و يجعلك مباركا في الدنيا و مغفوراً ذنبك في الآخرة و يحميك من عين الحاسدين و من نظرات الشياطين و يرزقك برزق ليس له حدود و يسخر لك كل الجنود و من الشر يفك عنك كل القيود ويصلح حالك وبالك و يريح قلبك و يغفر لك كل خطيئة علمت بها أو لم تعلم بها و أسأل الله الكريم أن يعيذك من جهد البلاء و درك الشقاء و سوئ القضاء و شماتة اﻷعداء كما أسأله أن يعيذك من زوال نعمته و من تحول عافيته و فجأة نقمته و جميع سخطه و أسأله أن يرضى عنك رضاً ﻻ يعقبه سخط و أسأله ألا يحرمك كل حسنة و أن يبعد عنك و يمحو كل سيئة اللهم و ارحم أمواتنا و أموات المسلمين اللهم امين رسالتي ايلا كل من في قلبه رحمه ﺍﻟﺴﻼﻡ ﻋﻠﻴﻜﻢ ﻭﺭﺣﻤﺔ ﺍﻟﻠﻪ وبركاته ﺍﺧﻮﺍﻧﻲ ﻳﺎ ﺍﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻗﺴﻢ ﺑﺎﻟﻠﻪ ﺍﻧﻨﻲ ﻣﺎﺍﺭﻳﺪ ﺍﻫﻴﻦ ﻛﺮﺍﻣﺘﻲ ﻭﻋﺰﻩ ﻧﻔﺴﻲ ﻋﻨﺪ ﺍﺣﺪ ﻏﻴﺮ ﺍﻟﻠﻪ ﻭﺍﻟﺸﻜﻮﻯ ﻟﻐﻴﺮ ﺍﻟﻠﻪ ﻣﺬﻟﻪ ﻭﻟﻜﻦ ﺍﺟﺒﺮﺗﻨﻲ ﺍﻟﻈﺮﻭﻑ ﺍﻧﻲ ﻭﺍﻣﻲ ﻭﺧﻮﺍﺗﻲ ﻧﻤﻮﺕ ﺟﻮﻋﺂ ﻭﻟﻴﺲ ﻟﺪﻳﻨﺎ ﺍﺣﺪ ﻳﻌﻮﻟﻨﺎ ﻭﻳﺸﻘﺎ ﻋﻠﻴﻨﺎ ﻧﺤﻦ ﺍﺳﺮﻩ ﺍﻳﺘﺎﻡ ﻭﻣﺤﺘﺎﺟﻴﻦ ﻣﺴﺎﻋﺪﻩ ﻳﺎﻣﻦ ﻟﺪﻳﻪ ﺍﺳﺘﻄﺎﻋﻪ ﻳﺴﺎﻋﺪﻧﺎ ﻟﻮﺟﻪ ﺍﻟﻠﻪ ﻧﺤﻦ ﺍﺳﺮﻩ ﻳﺘﺎﻡ ﻭﻣﺤﺘﺎﺟﻴﻦ ﻟﻴﺲ ﻟﻨﺎ ﺍﺏ ﻟﻴﺲ ﻟﻨﺎ ﺳﻮﺍ ﺍﻟﻠﻪ ﺛﻢ ﺍﻧﺘﻢ ﻳﺎ ﺍﻫﻞ ﺍﻟﻘﻠﻮﺏ ﺍﻟﺮﺣﻴﻤﻪ ﺍﻗﺴﻢ ﺑﻤﻦ ﺭﻓﻊ ﺍﻟﺴﻤﺎء ﻭﺑﺴﻂ ﺍﻻﺭﺽ ﺍﻧﻨﺎ ﻟﻦ ﻳﻮﺟﺪﺩﺍﺧﻞ ﺑﻴﺘﻨﺎ ﺣﺘﺊ ﻗﻮﺕ ﻳﻮﻡ ﻭﺍﺣﺪ ﻏﻴﺮ ﺍﻟﺠﻴﺮﺍﻥ ﻳﺪﻭﻟﻨﺎ ﻭﻧﺤﻦ ﻧﻌﺎﻧﻲ ﺍﻻﻟﻢ ﻭﺍﻟﻮﻳﻼﺕ ﻳﺎﻣﻦ ﺍﻧﺘﻢ ﺗﺤﺒﻮﻥ ﺍﺑﻨﺎﻛﻚ ﻭﺑﻨﺎﺗﻜﻢ ﻧﺤﻦ ﺑﻨﺎﺗﻜﻢ ﻧﺈﻋﺎﻧﻲ ﻭﻧﺘﺎﻟﻢ ﻭﻻ ﺍﺣﺪﻧﻈﺮ ﺍﻟﻴﻨﺎ ﺑﻌﻴﻦ ﺍﻟﺮﺣﻤﻪ ﺍﻟﻤﺠﻮﺩ ﻳﺎﺧﺬﻻﺳﻢ ﻭﻳﺮﻭﺡ ﻭﻻﻋﺎﺩﺣﺘﺊ ﻳﺮﻳﺮﺿﺎء ﻳﺮﺩ ﺍﻟﺠﻮﺍﺏ ﺍﻧﻨﻲ ﺍﻧﺎﺷﺪﻛﻢ ﻳﺎﻣﻦ ﺗﺤﺒﻮﻥ ﻓﻌﻞ ﺍﻟﺨﻴﺮﺣﻴﺚ ﺍﻧﻨﺎ ﻳﺘﻴﻤﺎﺕ ﻭﻣﺎﻟﻨﺎ ﺍﺣﺪ ﻭﻣﻬﺪﺩﻳﻦ ﺑﻄﺮﺩﻣﻦ ﺍﻟﺒﻴﺖ ﻟﺸﺎﺭﻉ ﺍﺫﺍ ﻟﻦ ﻧﺪﻓﻊ ﺍﻹﺟﺎﺭ ﻳﺸﻬﺪﺍﻟﻠﻪ ﺍﻧﻪ ﻣﺎﻧﻤﺘﻠﻚ ﺣﺘﺊ ﻣﺎﻧﺴﺪ ﺑﻪ ﺟﻮﻋﻨﺎ ﺍﺳﺎﻟﻜﻢ ﺑﻠﻠﻪ ﻳﺎﻣﻦ ﻗﺮﺍء ﺭﺳﺎﻟﺘﻲ ﻭﻫﻮﻣﺴﺘﻄﻴﻊ ﻳﻤﺪﻟﻨﺎ ﻳﺪﺍﻟﻌﻮﻥ ﻭﻟﻮﺑﻠﻘﻠﻴﻞ ﻣﻦ ﺍﻟﻤﺎﻝ ﺑﻘﺪﺭﺍﻻﺳﺘﻄﺎﻋﻪ ﺍﻧﻪ ﻻﻳﺘﺎﺧﺮ ﻋﻠﻴﻨﺎ ﻓﻲ ﻫﺬﺍﻟﺤﻈﻪ ﺍﻳﻦ00967717118320 ﻣﻦ ﻳﺮﻳﺪﻭﻥ ﻓﻌﻞ ﺍﻟﺨﻴﺮ ﺍﺳﺎﻝ ﻣﻦ ﺍﻟﻠﻪ ﻳﺎﻣﻦ ﺳﺎﻋﺪﻧﺎ ﻭﻭﻗﻒ ﺑﺠﺎﻧﺒﻨﺎ ﺍﻥ ﺍﻟﻠﻪ ﻳﺴﻜﻨﻪ ﺍﻟﺠﻨﻪ ﺍﺧﻲ ﻓﻲ ﺍﻟﻠﻪ ﻻﺗﺒﺨﻞ ﻋﻠﻴﻨﺎ ﺍﺳﺎﻟﻚ ﺑﺎﻟﻠﻪ ﺳﺎﻋﺪﻧﺎ ﺑﻘﺪﺭ ﻣﺎﺗﺴﺘﻄﻴﻊ ﺍﻟﻠﻪ ﻳﻮﻓﻘﻜم...٠٠٠٠
Tornado,& the fools stay  & rebuild  & it happens again to them
Tornado,no one cars  happens every year  give  us real news
Tornado,"ㅇThen he said to them: “Nation will rise against nation, and kingdom against kingdom. 
ㅇThere will be great earthquakes, famines and pestilences in various places, and fearful events and great signs from heaven. ㅇThere will be signs in the sun, moon and stars. On the earth, nations will be in anguish and perplexity at the roaring and tossing of the sea. 
ㅇPeople will faint from terror, apprehensive of what is coming on the world, for the heavenly bodies will be shaken. 
ㅇAt that time they will see the Son of Man coming in a cloud with power and great glory.""
‭‭[Luke‬ ‭21‬:‭10‬-‭11‬, ‭25‬-‭27‬]

“And as it is appointed unto men once to die, but after this the judgment:” [Hebrews‬ ‭9‬:‭27‬]

“For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.” [John‬ ‭3‬:‭16]

“(Jesus said) And this is the will of him that sent me, that every one which seeth the Son, and believeth on him, may have everlasting life: and I will raise him up at the last day.""
[John‬ ‭6‬:‭40]

ㅇthat if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved. 
ㅇFor with the heart man believeth unto righteousness; and with the mouth confession is made unto salvation.
[Romans‬ ‭10‬:‭9‬-‭10‬]

ㅇFor as in Adam all die, even so in Christ shall all be made alive. [1 Corinthians‬ ‭15‬:‭22]"
Tornado,lol
Tornado,People dying? Cringe
Tornado,Looks like we waiting for Wizard of Oz
Run On,They are ruining it by trying to make their shows more like western tv shows. especially the swearing. please don't.
Run On,Aniyoooo but is it only me The subtitles are hard to read it is bit fast but the storyline is good as far
Run On,"Estuvo bien, no es el mejor drama coreano que vi pero es tranquilo para relajarse un rato mientras lo ves. Mis personajes favoritos, son gyeom y dan ah. Divinos, nunca un personaje principal masculino fue tan dulce y Green flag. Siwan una vez más demostró lo buen actor que es. Recomiendo el drama si quieren algo no tan dramático y con un poco de romance."
Run On,"Yikes, so many corrupt, brutal people in this show - the father, the agent, the coach, the film director and I'm only at Ep. 3! Not sure I can keep watching this. I do care about the translator and curious to see if this series will crush her spirit or she'll rise above it!"
Run On,The male lead I think I have seen him in a kdrama wherein he is a villain/psycho
Run On,I have never seen such a boring lead actor in a series!!!🤷🏻‍♀️ Such a lame series🥱🥱..the scriptwriter had probably taken sleeping pills!!!!😴😴😴
Run On,"Second male n female lead were amazing, even d younger brother was good"
Run On,wait what is this about?
Run On,Just start watching this drama and I like it I feel sorry for the way the guy who work so hard to be a sprinter. Is been treated by his dad of all people. Where is the LOVE for your beautiful SON. Don’t let him get married to no one if it’s not LOVE. Don’t hurt him in this way. Let him live his life make his own choices. Right or wrong. I just want to give him a thousand hugs. I do I feel it for him. Beautiful soul first of all. We may be blessed with Children and no matter how we want things to go the way we want it. It just not happen that way. I hope father and son relationship heals and they get back on track. And enjoy each other. Because LIFE is SHORT. And you need to have good memories of your parents. They are not here FOREVER. This is my opinion great drama by the way. ❤️💕
Run On,I love this drama 💖 Siwan and Se Kyung are very beautiful.  ✨😭 This drama is harmless and healing and taught me to take good care of myself.  ✨🍀
Run On,There should be an English dub of this!  The main character dubs movies!!!
Run On,"From this trailer I got the vibe that he's a rudeass sharp mouthed person lol I dont know why. And not only he wasn't such a man, he had to be COMPLETELY, i repeat ABSOLUTELY COMPLETELY opposite and the softest man in the kdrama world and honey is dripping from his voice 24/7. My guts never did me so wrong."
Run On,this was so good! very funny too actually!
Run On,It's not available in you tube
