id,title,runtime,imdb_id,imdb_score,imdb_votes,IMDb,Rotten Tomatoes
ts21967,Johnny Test,18.0,tt15061770,5.1,8172.0,5.1,53/100
ts12701,Code Lyoko,24.0,tt0417311,7.3,5109.0,7.3,57/100
ts21695,Iris,61.0,tt1399791,7.8,1951.0,7.9,56/100
ts121176,DreamWorks Shrek's Swamp Stories,24.0,tt6950338,6.5,330.0,,
ts1893,Ben & Holly's Little Kingdom,14.0,tt1436544,7.5,1222.0,,
ts20535,The Garfield Show,17.0,tt1470837,5.3,2499.0,5.4,46/100
ts38159,Wakfu,22.0,tt1807824,8.1,1469.0,8.2,56/100
ts17028,Dinosaur King,21.0,tt1524993,5.6,720.0,5.7,43/100
ts25765,Vampire Knight,25.0,tt1209393,7.3,5172.0,7.4,63/100
ts3666,Den-noh Coil,25.0,tt1033796,7.9,863.0,,
ts42914,Zig and Sharko,9.0,tt2046005,6.8,644.0,6.9,42/100
ts21664,One on One,20.0,tt0284770,7.0,2303.0,7.2,54/100
ts1464,The Cartel,44.0,tt1260520,8.1,755.0,,
ts72322,The Mafia Dolls,43.0,tt1585368,6.6,284.0,6.6,48/100
ts52849,Horrid Henry,12.0,tt0985991,6.3,912.0,6.4,44/100
ts14102,Bo on the Go!,22.0,tt1516172,4.1,118.0,4.0,35/100
ts74928,Einsatzgruppen: The Nazi Death Squads,44.0,tt6953928,7.6,603.0,7.6,51/100
ts74931,Kung Fu Panda Awesome Secrets,0.0,tt6963796,7.2,55.0,,
ts98252,Dreamworks Happy Holidays from Madagascar,0.0,tt6929194,6.5,96.0,,
ts20358,Half & Half,21.0,tt0320024,7.0,1827.0,7.1,51/100
ts23319,Timmy Time,14.0,tt1125758,6.9,1083.0,6.9,46/100
ts63295,Vientos de agua,72.0,tt0459724,8.7,1034.0,8.8,55/100
ts44663,Oscar's Oasis,9.0,tt2080922,7.4,572.0,7.5,42/100
ts37200,Trotro,3.0,tt1074443,6.2,120.0,6.0,35/100
ts56589,Tayo the Little Bus,11.0,tt3270208,5.2,156.0,5.6,40/100
ts1413,Autumn's Concerto,58.0,tt3530668,7.9,475.0,8.0,50/100
ts98353,DreamWorks Spooky Stories,26.0,tt6958564,6.2,19.0,,
ts137477,Behind Enemy Lines,49.0,tt5170230,7.2,42.0,6.4,50/100
ts4866,Fated to Love You,67.0,tt1483930,7.4,461.0,7.4,48/100
ts34414,Nuevo Rico Nuevo Pobre,44.0,tt1233451,7.2,203.0,,
ts204466,Pecados capitales,43.0,tt0355119,8.5,190.0,,
ts18653,Chhota Bheem,22.0,tt4570986,4.1,822.0,4.3,27/100
ts67595,Pedro El Escamoso,0.0,tt0283770,7.5,303.0,,
ts29199,Monty Python's Personal Best,56.0,tt0795156,7.9,437.0,7.9,46/100
ts178360,El cartel 2 - La guerra total,44.0,tt1667724,6.8,228.0,,
ts98316,Edge of the Universe,49.0,tt6951568,7.2,206.0,,
ts124246,Mighty Raju,20.0,tt6491030,4.2,57.0,,
ts12444,The Fierce Wife,59.0,tt4304720,6.8,90.0,6.8,40/100
ts39604,The Hospital,48.0,tt2823414,7.4,40.0,,
ts160526,Khawatir,20.0,tt3062514,9.6,3046.0,,
ts23797,Black & White,37.0,tt1508870,7.6,302.0,,
ts70843,The Prince Who Turns into a Frog,44.0,tt1454440,6.8,128.0,7.0,43/100
ts13411,Cocaine,44.0,tt0907286,7.1,60.0,7.1,35/100
ts8614,Breakout,44.0,tt7131684,6.7,7.0,7.9,39/100
ts4924,At Dolphin Bay,59.0,tt8612066,6.9,39.0,7.1,31/100
ts126804,My MVP Valentine,69.0,tt6286390,6.5,27.0,6.6,32/100
ts188031,Pink Zone,15.0,tt11194518,6.1,47.0,,
ts29581,Unriddle,44.0,tt12229764,8.0,25.0,7.8,34/100
ts56595,Cocomong,13.0,tt9892608,5.6,11.0,4.3,29/100
ts8175,Call the Midwife,56.0,tt1983079,8.5,25562.0,8.4,78/100
ts20564,New Girl,21.0,tt1826940,7.7,216209.0,7.7,85/100
ts278,Black Mirror,59.0,tt2085059,8.8,515577.0,8.8,92/100
ts21580,Longmire,53.0,tt1836037,8.3,34362.0,8.3,80/100
ts20660,Shameless,54.0,tt1586680,8.6,230243.0,8.5,90/100
ts21806,Happy Endings,21.0,tt2311579,7.8,37778.0,7.7,80/100
ts27680,Last Tango in Halifax,59.0,tt2216156,8.3,6844.0,8.3,73/100
ts21599,Ink Master,42.0,tt1865740,7.4,3874.0,7.4,63/100
ts33338,Top Boy,48.0,tt1830379,8.4,22420.0,8.4,77/100
ts32835,Hunter x Hunter,23.0,tt2098220,9.0,87857.0,9.0,82/100
ts17598,Arrow,42.0,tt2193021,7.5,425716.0,7.5,84/100
ts20457,The Legend of Korra,23.0,tt1695360,8.4,117464.0,8.4,83/100
ts20429,Sword Art Online,23.0,tt2250192,7.6,43727.0,7.6,71/100
ts6506,The Borgias,51.0,tt1582457,7.9,50556.0,7.9,76/100
ts20458,Ninjago: Masters of Spinjitzu,17.0,tt1871731,7.2,4519.0,7.2,67/100
ts34087,Puella Magi Madoka Magica,24.0,tt1773185,8.3,9055.0,8.3,65/100
ts27468,Transformers: Rescue Bots,22.0,tt2139371,6.4,915.0,6.5,50/100
ts20556,Teen Mom 2,41.0,tt1821220,4.5,28.0,4.3,55/100
ts9794,Comedians in Cars Getting Coffee,20.0,tt2314952,8.0,12363.0,8.1,65/100
ts20500,Lilyhammer,45.0,tt1958961,7.9,29196.0,8.0,76/100
ts34151,TIGER & BUNNY,26.0,tt2061527,7.3,998.0,7.4,52/100
ts11151,Fate/Zero,25.0,tt2051178,8.2,12568.0,8.3,64/100
ts9246,Blue Exorcist,24.0,tt1799631,7.5,12741.0,7.4,62/100
ts19779,Barbie: Life in the Dreamhouse,6.0,tt2644032,7.3,1806.0,7.4,54/100
ts7708,anohana: The Flower We Saw That Day,23.0,tt1913273,8.2,12682.0,,
ts27586,Magi,24.0,tt2425098,7.8,3899.0,7.8,60/100
ts18551,Cuckoo,27.0,tt2329333,5.9,20.0,7.2,58/100
ts76614,Thermae Romae,27.0,tt2230761,6.1,108.0,,
ts34740,My Babysitter's a Vampire,22.0,tt1727434,6.9,4367.0,7.1,58/100
ts22249,Kuroko's Basketball,24.0,tt2348803,8.3,8052.0,8.3,72/100
ts36647,Rita,40.0,tt1973692,8.1,8718.0,8.1,64/100
ts34921,Wolverine,24.0,tt1847521,6.2,1458.0,6.3,51/100
ts35426,LEGO City,4.0,tt7530250,5.0,37.0,,
ts27835,MeatEater,22.0,tt2169245,7.5,1462.0,7.7,51/100
ts45996,Outback Truckers,44.0,tt5632186,7.4,264.0,7.4,48/100
ts55532,LEGO Friends,16.0,tt9148446,7.6,16.0,,
ts34737,La Reina del Sur,42.0,tt1704637,8.0,2445.0,8.0,62/100
ts21081,Pablo Escobar: The Drug Lord,44.0,tt2187850,8.4,4923.0,,
ts81858,Larva,2.0,tt6966158,7.1,582.0,7.2,39/100
ts158608,The Ultimate Braai Master,45.0,tt3264864,8.2,31.0,,
ts215037,Minecraft: Story Mode,62.0,tt10498322,5.5,300.0,5.7,46/100
ts39093,EastSiders,22.0,tt2558816,6.8,2723.0,6.9,54/100
ts26776,Smile PreCure!,22.0,tt2230557,6.1,388.0,,
ts33349,Robocar Poli,14.0,tt4763642,5.8,125.0,6.7,39/100
ts191698,Little Baby Bum,5.0,tt10051854,6.4,94.0,,
ts19165,The American Bible Challenge,43.0,tt2246424,6.4,125.0,6.4,39/100
ts58528,Inside West Coast Customs,47.0,tt8358972,7.4,42.0,,
ts27875,Masha's tales,5.0,tt3840498,6.4,89.0,,
ts6879,El Reemplazante,45.0,tt2488050,8.5,755.0,8.5,47/100
ts39112,Justin Time,15.0,tt1759210,6.0,16.0,6.7,39/100
ts167724,Meet the Adebanjos,25.0,tt2344781,7.6,76.0,7.6,37/100
ts41114,The Oath,44.0,tt7131686,7.9,9.0,,
ts32460,Inborn Pair,43.0,tt6357282,7.1,108.0,6.9,38/100
ts32561,Office Girls,46.0,tt4381290,6.9,140.0,6.9,40/100
ts69208,"Love, Now",45.0,tt6273116,7.6,116.0,6.1,40/100
ts99814,Masameer,0.0,tt6298258,8.2,677.0,,
ts44064,Drunken to Love You,46.0,tt2661520,6.5,114.0,,
ts128422,Takki,17.0,tt6052432,6.5,250.0,7.1,41/100
ts39465,Yours Fatefully,44.0,tt7131690,6.8,14.0,6.6,30/100
ts37864,The Glamorous Imperial Concubine,47.0,tt2272555,7.0,142.0,,
ts20837,Outlander,60.0,tt3006802,8.4,152435.0,8.4,88/100
ts20110,Peaky Blinders,58.0,tt2442560,8.8,485506.0,8.8,93/100
ts20682,Attack on Titan,24.0,tt2560140,9.0,325381.0,9.0,95/100
ts1639,The Blacklist,43.0,tt2741602,8.0,238138.0,8.0,88/100
ts20351,Married at First Sight,64.0,tt3868860,6.1,1975.0,,
ts11188,The Flash,42.0,tt3107288,7.6,336888.0,7.6,88/100
ts20292,Gotham,43.0,tt3749900,7.8,226081.0,7.8,83/100
ts16045,Are You The One?,41.0,tt3484274,6.5,2450.0,6.5,61/100
ts8146,The 100,42.0,tt2661044,7.6,242221.0,7.6,86/100
ts21374,How to Get Away with Murder,43.0,tt3205802,8.1,146712.0,8.1,83/100
ts20248,Reign,42.0,tt2710394,7.5,47751.0,7.5,78/100
ts14583,BoJack Horseman,26.0,tt3398228,8.8,143584.0,8.7,86/100
ts6,House of Cards,52.0,tt1856010,8.7,494092.0,8.7,88/100
ts20108,Henry Danger,24.0,tt3596174,5.6,5245.0,5.7,61/100
ts20823,Orange Is the New Black,59.0,tt2372162,8.1,295591.0,8.0,87/100
ts20824,The Originals,43.0,tt2632424,8.3,131574.0,8.2,80/100
ts21367,Jane the Virgin,42.0,tt3566726,7.8,46286.0,7.8,80/100
ts20280,Marco Polo,55.0,tt2189461,8.0,71229.0,8.0,77/100
ts35682,Wentworth,46.0,tt2433738,8.6,21747.0,8.6,73/100
ts20261,Madam Secretary,43.0,tt3501074,7.6,22563.0,7.6,73/100
ts34950,KILL la KILL,25.0,tt3114390,7.9,13372.0,,
ts20791,Z Nation,43.0,tt3843168,6.6,36059.0,6.7,68/100
ts20288,From Dusk Till Dawn: The Series,45.0,tt3337194,6.9,20132.0,6.9,64/100
ts2727,Derek,26.0,tt2616280,8.1,31976.0,8.0,72/100
ts32218,The Thundermans,24.0,tt2712516,5.6,5340.0,,
ts20097,Hemlock Grove,49.0,tt2309295,7.0,39590.0,7.1,70/100
ts314002,The Seven Deadly Sins,24.0,tt3909224,7.9,30341.0,8.0,75/100
ts20281,Sofia the First,24.0,tt2136138,6.8,2915.0,6.9,57/100
ts20014,Sailor Moon Crystal,24.0,tt3124992,7.8,2115.0,8.0,62/100
ts35570,Lovesick,24.0,tt4051832,8.1,19259.0,8.1,64/100
ts32271,Shtisel,48.0,tt3069894,8.6,6958.0,8.6,65/100
ts4213,The Chase,44.0,tt3077336,7.5,886.0,7.4,50/100
ts20917,The Night Shift,42.0,tt1483202,7.5,12069.0,7.4,66/100
ts35282,The Next Step,24.0,tt2374744,5.9,1928.0,6.2,57/100
ts20336,Velvet,57.0,tt2955402,8.1,6018.0,8.1,62/100
ts36836,Zach Stone Is Gonna Be Famous,20.0,tt1748277,8.3,3616.0,,
ts22426,The Irregular at Magic High School,24.0,tt3874528,7.1,3273.0,7.2,61/100
ts42168,Resurrection: Ertugrul,57.0,tt4320258,7.9,35515.0,8.0,73/100
ts98110,Dreamworks How to Train Your Dragon Legends,17.0,tt6963396,7.3,264.0,7.5,48/100
ts22383,Rabbids Invasion,10.0,tt3105674,5.5,1802.0,5.0,50/100
ts11794,The Cat in the Hat Knows a Lot About That!,19.0,tt1699440,6.4,620.0,6.5,47/100
ts20310,Girlfriends' Guide to Divorce,42.0,tt2817246,6.9,4523.0,6.9,55/100
ts35244,Tiny House Nation,43.0,tt3869500,7.1,1126.0,7.1,54/100
ts82979,Talking Tom and Friends,11.0,tt4648640,6.1,411.0,6.3,44/100
ts10206,Ever After High,30.0,tt3312378,7.7,1130.0,8.0,54/100
ts20709,Yowamushi Pedal,24.0,tt2942228,7.7,808.0,,
ts32060,Sam & Cat,24.0,tt2487090,5.6,9507.0,5.7,59/100
ts22445,The Heirs,59.0,tt3243098,7.5,10329.0,7.5,62/100
ts20790,Young & Hungry,21.0,tt2084712,7.3,15627.0,7.4,68/100
ts20883,"Nicky, Ricky, Dicky & Dawn",23.0,tt3596176,5.1,2551.0,5.2,51/100
ts33590,The Haunted Hathaways,24.0,tt2535732,5.0,2471.0,5.3,52/100
ts21368,Black Money Love,90.0,tt3565486,7.4,5975.0,7.3,61/100
ts2161,Angry Birds Toons,2.0,tt3012598,6.2,800.0,6.3,49/100
ts34066,Mako Mermaids: An H2O Adventure,25.0,tt2548214,6.7,3924.0,6.8,56/100
ts53641,Lalaloopsy,23.0,tt2827502,6.4,104.0,,
ts37187,Senora Acero,43.0,tt3904068,6.8,375.0,7.1,65/100
ts58137,Pac-Man and the Ghostly Adventures,22.0,tt2392179,4.8,635.0,4.9,48/100
ts75104,Zbrodnia,45.0,tt4173216,6.2,660.0,,
ts521,Black Ink Crew New York,41.0,tt2738096,4.6,459.0,4.6,49/100
ts33840,Nagi-Asu: A Lull in the Sea,23.0,tt3104236,7.3,1152.0,,
ts88394,Moving Art,28.0,tt6953912,8.6,442.0,8.7,50/100
ts58010,VeggieTales in the House,18.0,tt3692064,4.3,300.0,,
ts83239,Booba,4.0,tt6581428,7.0,390.0,7.0,49/100
ts16117,20 Minutes,45.0,tt2544148,7.3,1681.0,6.9,51/100
ts154625,Dérapages,53.0,tt12101170,7.9,14.0,,
ts76743,Dokidoki! PreCure,23.0,tt4621212,6.3,188.0,,
ts75833,Masha's Spooky Stories,5.0,tt4570676,6.1,65.0,5.0,35/100
ts3799,All Hail King Julien,23.0,tt3807022,7.0,2008.0,7.1,53/100
ts35628,Some Assembly Required,25.0,tt1160042,8.5,22.0,3.7,44/100
ts20781,Incomplete Life,73.0,tt4240730,8.6,1883.0,8.6,55/100
ts121189,"Raja, Rasoi Aur Anya Kahaniyaan",29.0,tt6953924,9.0,327.0,,
ts34074,"That Winter, the Wind Blows",63.0,tt2806646,7.6,1803.0,7.7,50/100
ts122290,Dharmakshetra,44.0,tt6803712,8.2,247.0,,
ts82860,Against the Tide,44.0,tt7131682,7.6,11.0,7.6,31/100
ts36127,Turbo FAST,19.0,tt3010520,6.5,593.0,6.5,43/100
ts67797,Sammy & Co,14.0,tt2580128,5.6,30.0,5.3,35/100
ts20238,Boss & Me,45.0,tt6186406,7.3,424.0,,
ts32752,Two Fathers,44.0,tt6707142,8.0,54.0,,
ts107543,Mystic Whispers,26.0,tt8834748,6.9,17.0,,
ts261583,Ojo's in d' House,24.0,tt12960266,6.1,11.0,6.1,34/100
ts8,Better Call Saul,49.0,tt3032476,8.8,404920.0,8.8,94/100
ts36577,The Last Kingdom,55.0,tt4179452,8.5,126473.0,8.4,85/100
ts38796,Stranger Things,52.0,tt4575572,8.7,989090.0,8.7,96/100
ts21867,Schitt's Creek,22.0,tt3526078,8.5,112537.0,8.5,86/100
ts37143,Alone,48.0,tt4803766,8.4,4622.0,8.4,77/100
ts35251,Grace and Frankie,30.0,tt3609352,8.2,48435.0,8.3,80/100
ts41766,The Good Place,23.0,tt4955642,8.2,148562.0,8.2,88/100
ts36885,Ash vs Evil Dead,30.0,tt4189022,8.4,70087.0,8.4,83/100
ts37539,One-Punch Man,24.0,tt4508902,8.7,148386.0,8.8,83/100
ts37490,Chicago Med,41.0,tt4655480,7.6,24142.0,7.6,71/100
ts41961,Queen of the South,42.0,tt1064899,7.9,28537.0,8.0,79/100
ts42069,The Crown,56.0,tt4786824,8.7,190878.0,8.6,89/100
ts37866,Call My Agent!,55.0,tt4277922,8.3,13331.0,8.3,68/100
ts38304,Servant of the People,29.0,tt6235122,7.3,2706.0,,
ts36952,Documentary Now!,22.0,tt4677934,8.1,6445.0,8.1,72/100
ts35793,Forged in Fire,42.0,tt4680444,8.3,3538.0,8.4,65/100
ts39007,Van Helsing,42.0,tt5197820,6.1,21852.0,6.2,66/100
ts35201,Food Wars! Shokugeki no Soma,24.0,tt0417325,8.2,9651.0,8.2,71/100
ts36147,Lucifer,47.0,tt4052886,8.1,308291.0,8.1,90/100
ts36550,DC's Legends of Tomorrow,42.0,tt4532368,6.8,101178.0,6.8,80/100
ts38199,The Magicians,44.0,tt4254242,7.6,49557.0,7.6,75/100
ts53051,The OA,55.0,tt4635282,7.9,100911.0,7.8,80/100
ts47714,Kim's Convenience,22.0,tt5912064,8.3,16970.0,8.2,73/100
ts21869,Sense8,62.0,tt2431438,8.2,151518.0,8.3,84/100
ts42170,Crashing,30.0,tt5295524,7.7,18546.0,7.7,65/100
ts70529,Norsemen,30.0,tt5905354,7.7,18040.0,7.8,65/100
ts18010,Bloodline,57.0,tt0219432,7.9,50028.0,7.9,76/100
ts38718,Slasher,46.0,tt13976072,6.7,14071.0,6.7,67/100
ts42120,Travelers,45.0,tt5651844,8.0,54566.0,8.1,77/100
ts36631,Narcos,52.0,tt2707408,8.8,404486.0,8.8,90/100
ts42062,Miraculous: Tales of Ladybug & Cat Noir,22.0,tt2580046,7.7,10102.0,7.7,73/100
ts41956,Designated Survivor,44.0,tt5296406,7.5,88019.0,7.5,77/100
ts52922,Leah Remini: Scientology and the Aftermath,46.0,tt6244192,9.0,5761.0,9.0,68/100
ts36015,Into the Badlands,43.0,tt3865236,7.9,45628.0,8.0,80/100
ts21981,iZombie,42.0,tt3501584,7.8,66488.0,7.8,80/100
ts38710,Wynonna Earp,43.0,tt4878326,7.3,22256.0,7.5,78/100
ts35253,Dark Matter,43.0,tt3116070,7.5,41867.0,7.5,78/100
ts35554,Scream: The TV Series,43.0,tt3921180,7.1,40082.0,7.1,68/100
ts38090,Versailles,54.0,tt3830558,7.9,16273.0,7.9,73/100
ts42014,60 Days In,46.0,tt10112398,7.6,2616.0,7.7,62/100
ts35563,Supergirl,42.0,tt4016454,6.2,121939.0,6.2,77/100
ts36129,Crazy Ex-Girlfriend,42.0,tt4094300,7.8,19738.0,7.8,76/100
ts42077,Medici: Masters of Florence,54.0,tt5057130,7.9,18575.0,7.9,69/100
ts42687,PJ Masks,15.0,tt4148744,5.4,1214.0,5.5,55/100
ts38734,Marcella,45.0,tt5269594,7.4,30373.0,7.4,72/100
ts53099,Bordertown,59.0,tt4937942,7.6,10371.0,,
ts53664,Fauda,40.0,tt4565380,8.3,25239.0,8.2,77/100
ts42022,El marginal,54.0,tt5820976,8.2,3799.0,8.2,60/100
ts38415,Frontier,46.0,tt4686698,7.1,20706.0,7.2,71/100
ts43209,The Cuba Libre Story,45.0,tt5319838,7.6,1583.0,7.7,48/100
ts42169,ERASED,22.0,tt5249462,8.5,42699.0,8.5,74/100
ts41289,Flowers,25.0,tt5619658,8.1,5468.0,8.2,72/100
ts38511,Love,32.0,tt4061080,7.7,41362.0,7.7,77/100
ts21986,Good Witch,43.0,tt3906732,7.2,10392.0,7.3,68/100
ts41149,The Ranch,30.0,tt4998212,7.4,37890.0,7.5,67/100
ts52829,Paranoid,44.0,tt5839454,6.7,8343.0,6.7,59/100
ts35775,Wet Hot American Summer: First Day of Camp,30.0,tt4341672,7.4,23674.0,7.4,67/100
ts41975,Shooter,41.0,tt4181172,7.5,35547.0,7.5,73/100
ts41490,Hap and Leonard,42.0,tt3729898,7.6,7577.0,7.7,61/100
ts36177,Glitch,52.0,tt4192782,7.3,17240.0,7.3,70/100
ts37464,Occupied,45.0,tt4192998,7.7,8839.0,7.7,62/100
ts37971,Master of None,32.0,tt4635276,8.3,72341.0,8.3,83/100
ts21885,Unbreakable Kimmy Schmidt,30.0,tt3339966,7.6,70242.0,7.6,79/100
ts38783,Secret City,50.0,tt4976512,7.4,7831.0,7.4,71/100
ts36983,Fuller House,27.0,tt3986586,6.7,27148.0,6.7,67/100
ts41963,Easy,30.0,tt5562056,6.9,13569.0,6.9,69/100
