title,IMDb,Rotten Tomatoes
Kipo and the Age of Wonderbeasts,8.4,70/100
"Roswell, New Mexico",6.2,70/100
Night Stalker: The Hunt For a Serial Killer,7.5,70/100
Glitch,7.3,70/100
Great Pretender,8.0,69/100
InuYasha,7.9,69/100
In the Dark,7.5,69/100
GHOUL,7.1,69/100
Nailed It!,7.4,69/100
Voltron: Legendary Defender,8.1,69/100
Trollhunters: Tales of Arcadia,8.4,69/100
Sweet Magnolias,7.4,69/100
Medici: Masters of Florence,7.9,69/100
The Innocent,7.9,69/100
Aggretsuko,8.1,69/100
Jurassic World: Camp Cretaceous,7.5,69/100
Rake,8.5,69/100
The Serpent,7.6,69/100
The Gift,7.2,69/100
Violet Evergarden,8.5,69/100
3Below: Tales of Arcadia,7.7,69/100
Jeffrey Epstein: Filthy Rich,7.1,69/100
Dawson's Creek,6.6,69/100
Private Practice,6.7,69/100
Beauty and the Beast,7.0,69/100
Daybreak,6.7,69/100
Easy,6.9,69/100
Behind Her Eyes,7.2,68/100
Collateral,6.8,68/100
Knightfall,6.8,68/100
The Confession Killer,7.4,68/100
Sophie: A Murder In West Cork,6.9,68/100
Call My Agent!,8.3,68/100
My Little Pony: Friendship Is Magic,7.6,68/100
Leah Remini: Scientology and the Aftermath,9.0,68/100
Containment,7.2,68/100
Z Nation,6.7,68/100
Emily in Paris,7.0,68/100
Victorious,6.9,68/100
Scream: The TV Series,7.1,68/100
Akame ga Kill!,7.8,68/100
Warrior Nun,6.9,68/100
Bad Blood,7.5,68/100
Young & Hungry,7.4,68/100
Caliphate,8.2,68/100
'Allo 'Allo!,8.3,68/100
Good Witch,7.3,68/100
Gilmore Girls: A Year in the Life,7.6,68/100
Aquarius,7.1,68/100
Firefly Lane,7.4,67/100
White Gold,7.4,67/100
Hyperdrive,8.1,67/100
Reply 1988,9.1,67/100
Ninjago: Masters of Spinjitzu,7.2,67/100
Spotless,7.8,67/100
Devilman: Crybaby,7.6,67/100
BEASTARS,7.8,67/100
Kill la Kill,7.9,67/100
Down to Earth with Zac Efron,8.1,67/100
Ancient Aliens,7.2,67/100
Slasher,6.7,67/100
Ray,7.3,67/100
Time: The Kalief Browder Story,8.5,67/100
Away,6.6,67/100
No Tomorrow,7.3,67/100
Locked Up,8.2,67/100
The Frankenstein Chronicles,7.3,67/100
The Ranch,7.5,67/100
Cursed,5.9,67/100
Wu Assassins,6.5,67/100
Mr. Sunshine,8.8,67/100
The Unicorn,7.2,67/100
Anohana: The Flower We Saw That Day,8.2,67/100
Alice in Borderland,7.7,67/100
The Challenge,7.7,67/100
Gypsy,6.8,67/100
Fuller House,6.7,67/100
How to Become a Tyrant,7.4,67/100
Killer Inside: The Mind of Aaron Hernandez,7.4,67/100
RESIDENT EVIL: Infinite Darkness,5.8,67/100
1983,6.8,67/100
Wet Hot American Summer: First Day of Camp,7.4,67/100
The Baker and the Beauty,7.4,67/100
Spinning Out,7.6,67/100
Trinkets,7.1,67/100
Insatiable,6.5,67/100
The Chalet,7.0,67/100
We Bare Bears,7.9,67/100
Gurren Lagann,8.3,66/100
Friends from College,6.9,66/100
Jericho,7.3,66/100
Tidelands,7.0,66/100
Dear White People,6.2,66/100
Dare Me,6.7,66/100
Ouran High School Host Club,8.2,66/100
Scooby-Doo! Mystery Incorporated,8.0,66/100
The Untamed,9.0,66/100
Stranger,8.6,66/100
El Chapo,7.8,66/100
Great News,7.0,66/100
The Get Down,8.3,66/100
The Naked Director,7.7,66/100
Rise of Empires: Ottoman,7.9,66/100
Club de Cuervos,8.2,66/100
My Mister,9.1,66/100
Toradora!,8.0,66/100
The Baby-Sitters Club,7.4,66/100
Carole & Tuesday,7.9,66/100
Van Helsing,6.2,66/100
Vincenzo,8.5,66/100
The Night Shift,7.4,66/100
"Pablo Escobar, The Drug Lord",8.5,66/100
No Game No Life,7.8,66/100
The King: Eternal Monarch,8.3,66/100
Eden,6.7,65/100
Stateless,7.6,65/100
High Score,7.4,65/100
Hospital Playlist,8.7,65/100
Dash & Lily,8.0,65/100
The Confession Tapes,7.5,65/100
Black Butler,7.8,65/100
The Rain,6.3,65/100
Love Is Blind,6.1,65/100
Trial by Media,7.2,65/100
Wormwood,7.0,65/100
Fear City: New York vs The Mafia,7.1,65/100
Sorjonen,7.6,65/100
Crashing,7.7,65/100
Forged in Fire,8.4,65/100
Baby,6.8,65/100
Sweet Home,7.4,65/100
The Disastrous Life of Saiki K.,8.3,65/100
The Innocence Files,8.0,65/100
BNA,7.2,65/100
The Mist,5.4,65/100
Halston,7.5,65/100
Shaun the Sheep,8.2,65/100
The Universe,8.7,65/100
Self Made: Inspired by the Life of Madam C.J. Walker,7.3,65/100
Shtisel,8.6,65/100
The Boss Baby: Back in Business,6.5,65/100
Puella Magi Madoka Magica,8.3,65/100
Masameer County,8.3,65/100
Sinatra: All or Nothing at All,8.0,65/100
Comedians in Cars Getting Coffee,8.1,65/100
Senora Acero,7.1,65/100
Dark Tourist,7.5,65/100
Criminal: UK,7.6,65/100
Heist,6.8,65/100
The Bureau of Magical Things,6.7,65/100
Cleverman,6.4,65/100
The Innocent Man,7.3,65/100
Norsemen,7.8,65/100
Word of Honor,9.1,65/100
Pawn Stars,7.2,65/100
Inside Bill's Brain: Decoding Bill Gates,7.9,65/100
Damnation,7.7,65/100
From Dusk Till Dawn: The Series,6.9,64/100
Lovesick,8.1,64/100
Flint Town,7.9,64/100
Watership Down,7.2,64/100
Undercover,7.8,64/100
Rita,8.1,64/100
Dorohedoro,8.2,64/100
Maid Sama!,8.0,64/100
Mystery Science Theater 3000: The Return,8.0,64/100
Is It Wrong to Try to Pick Up Girls in a Dungeon?,7.4,64/100
Surviving R. Kelly,7.5,64/100
Saint Seiya,8.5,64/100
Flaked,7.2,64/100
Fate/Zero,8.3,64/100
Crazyhead,7.3,64/100
The Five,7.6,64/100
Signal,8.6,64/100
H2O: Just Add Water,7.2,64/100
Requiem,6.5,64/100
The Valhalla Murders,7.1,64/100
Cardcaptor Sakura,8.0,64/100
Black Earth Rising,7.5,64/100
W/ Bob & David,7.4,64/100
The Trials of Gabriel Fernandez,8.1,64/100
She's Gotta Have It,6.8,64/100
Save Me,7.7,64/100
Giri/Haji,7.9,64/100
The Curse of Oak Island,7.0,64/100
Black,8.0,63/100
Losers,7.7,63/100
Ajin,7.6,63/100
Ink Master,7.4,63/100
The Innocents,6.3,63/100
Goosebumps,7.7,63/100
Vampire Knight,7.4,63/100
Angel Beats!,7.7,63/100
Green Eggs and Ham,8.2,63/100
The Hollow,7.2,63/100
Dogs,8.1,63/100
November 13: Attack on Paris,8.3,63/100
It's Bruno!,7.5,63/100
Wanted,7.7,63/100
Masum,8.4,63/100
Cable Girls,7.6,63/100
Lady Dynamite,7.4,63/100
Power Rangers,6.5,63/100
The Mire,6.9,63/100
Tabula Rasa,8.0,63/100
Ethos,8.6,63/100
Clannad,7.9,63/100
Ugly Delicious,7.8,63/100
Generation 56k,7.4,63/100
Fate/stay night [Unlimited Blade Works],8.0,63/100
Man with a Plan,7.0,63/100
Rilakkuma and Kaoru,8.3,63/100
World War II In HD Colour,8.7,63/100
Boys Over Flowers,7.9,63/100
Meteor Garden,8.1,63/100
"What's New, Scooby-Doo?",7.3,63/100
The Letdown,7.5,63/100
Sick Note,6.8,63/100
Big Time Rush,6.4,63/100
Girlboss,7.0,63/100
Quicksand,7.5,63/100
Rotten,7.2,63/100
The Irregulars,5.9,63/100
The Mantis,7.4,63/100
College Romance,8.8,63/100
Elite Short Stories: Carla Samuel,7.0,63/100
Bard of Blood,6.9,63/100
Charmed,4.6,62/100
The New Legends of Monkey,6.5,62/100
Nevertheless,7.6,62/100
"The Mind, Explained",8.0,62/100
Fast & Furious Spy Racers,5.5,62/100
Itaewon Class,8.2,62/100
Occupied,7.7,62/100
The Magic School Bus,7.8,62/100
Toast of London,8.2,62/100
Patriot Act with Hasan Minhaj,8.3,62/100
Greatest Events of World War II in Colour,8.7,62/100
Offspring,8.3,62/100
Blown Away,7.1,62/100
60 Days In,7.7,62/100
Trese,7.1,62/100
Move to Heaven,8.7,62/100
Hot Girls Wanted: Turned On,6.6,62/100
The Heirs,7.5,62/100
The Curious Creations of Christine McConnell,7.8,62/100
Alexa & Katie,7.5,62/100
Sailor Moon Crystal,8.0,62/100
Blood of Zeus,7.5,62/100
La Reina del Sur,8.0,62/100
Barbarians,7.2,62/100
Pine Gap,7.2,62/100
To the Lake,7.3,62/100
Suburra: Blood on Rome,7.9,62/100
Taco Chronicles,7.9,62/100
She,6.5,62/100
Between,6.0,62/100
Velvet,8.1,62/100
Bobby Kennedy for President,8.2,62/100
Durarara!!,7.9,62/100
Yu-Gi-Oh!,7.9,62/100
Hostages,6.7,62/100
Rhythm + Flow,7.7,62/100
Blue Exorcist,7.4,62/100
L.A.'s Finest,6.0,62/100
Vagabond,8.3,62/100
Thomas & Friends,6.6,62/100
The Protector,6.7,61/100
Unsolved Mysteries,8.2,61/100
Too Hot to Handle,4.6,61/100
AJ and the Queen,7.5,61/100
Are You The One?,6.5,61/100
Little Things,8.3,61/100
Still Game,8.8,61/100
Transformers: Prime,7.9,61/100
Henry Danger,5.7,61/100
Tidying Up with Marie Kondo,6.6,61/100
Nightflyers,5.9,61/100
Love 101,7.5,61/100
Car Masters: Rust to Riches,8.8,61/100
WHAT / IF,6.3,61/100
Total Drama Island,7.2,61/100
Roman Empire,7.0,61/100
Beyond Evil,8.1,61/100
Deadwind,7.2,61/100
People Just Do Nothing,8.5,61/100
B: The Beginning,7.2,61/100
Somebody Feed Phil,8.2,61/100
Girl from Nowhere,7.7,61/100
Cocaine Coast,7.9,61/100
The Liberator,7.6,61/100
The Irregular at Magic High School,7.2,61/100
Norm Macdonald Has a Show,8.7,61/100
Hap and Leonard,7.7,61/100
Dark Desire,6.5,61/100
Seis Manos,7.2,61/100
Control Z,6.9,61/100
Kengan Ashura,8.0,61/100
Black Money Love,7.3,61/100
Dave Chappelle,8.7,61/100
The House of Flowers,7.6,61/100
Fatma,7.5,61/100
America's Next Top Model,5.5,61/100
Tribes of Europa,6.8,61/100
Grand Army,7.6,61/100
Somos.,7.2,61/100
The Great Heist,7.3,61/100
The One,6.6,61/100
Carmen Sandiego,7.9,61/100
The Chef Show,8.2,61/100
Traitors,6.6,61/100
Wet Hot American Summer: Ten Years Later,6.9,61/100
The Neighbor,6.6,60/100
Salt Fat Acid Heat,7.7,60/100
Billy on the Street,7.8,60/100
October Faction,6.2,60/100
Start-Up,8.1,60/100
Night on Earth,8.2,60/100
DOTA: Dragon's Blood,8.0,60/100
The Break,7.6,60/100
The Letter for the King,5.9,60/100
Osmosis,5.9,60/100
Another Life,5.0,60/100
Ju-On: Origins,6.1,60/100
Diagnosis,7.7,60/100
Zone Blanche,7.5,60/100
The Eddy,7.2,60/100
Magi,7.8,60/100
Elite Short Stories: Guzmán Caye Rebe,7.5,60/100
Memories of the Alhambra,7.8,60/100
Pacific Rim: The Black,7.1,60/100
V Wars,6.1,60/100
The Windsors,7.1,60/100
The Sons of Sam: A Descent Into Darkness,7.0,60/100
Sunderland 'Til I Die,8.1,60/100
Rebellion,7.2,60/100
The Pharmacist,7.7,60/100
The A List,5.5,60/100
Tales of the City,7.4,60/100
Disjointed,6.8,60/100
Medical Police,6.0,60/100
Gentefied,7.4,60/100
Wanderlust,7.1,60/100
Murder Among the Mormons,7.0,60/100
Home for Christmas,7.7,60/100
Paradise PD,6.9,60/100
The Bachelorette,3.4,60/100
Cold Case Files,8.1,60/100
Little Witch Academia,7.9,60/100
El marginal,8.2,60/100
Teasing Master Takagi-san,7.7,60/100
Kakegurui,7.2,60/100
Attenborough's Life in Colour,8.3,60/100
Mortel,6.6,60/100
Kath & Kim,8.3,60/100
Charité,7.9,59/100
Hoarders,6.4,59/100
Unsolved: The Murders of Tupac and The Notorious B.I.G.,7.9,59/100
My Next Guest Needs No Introduction With David Letterman,7.9,59/100
The Repair Shop,8.7,59/100
Record of Ragnarok,6.2,59/100
White Lines,6.6,59/100
A Korean Odyssey,8.1,59/100
Snabba Cash,7.6,59/100
Luis Miguel: The Series,8.0,59/100
Black Space,6.8,59/100
"Love, Chunibyo & Other Delusions",7.4,59/100
Kabaneri of the Iron Fortress,7.2,59/100
"Sister, Sister",6.3,59/100
Greenhouse Academy,6.9,59/100
Mr. Iglesias,7.1,59/100
Paranoid,6.7,59/100
Hip Hop Evolution,8.4,59/100
The Game,6.7,59/100
Love on the Spectrum,8.5,59/100
Greenleaf,7.4,59/100
Naomi Osaka,6.2,59/100
Oh My Ghost,8.1,59/100
The Final Table,7.7,59/100
Life Sentence,6.6,59/100
Penguin Town,8.0,59/100
Dogs of Berlin,7.6,59/100
Yasuke,6.2,59/100
Alma Matters: Inside the IIT Dream,8.5,59/100
Playing with Fire,5.9,59/100
"Hello, My Twenties!",8.3,59/100
Sam & Cat,5.7,59/100
Girls from Ipanema,7.9,59/100
Elite Short Stories: Omar Ander Alexis,7.4,59/100
MEGALOBOX,7.8,59/100
High on the Hog: How African American Cuisine Transformed America,7.7,59/100
So Not Worth It,7.7,59/100
K-ON!,7.7,59/100
The Family,6.4,59/100
Challenger: The Final Flight,7.9,59/100
Sexify,6.5,58/100
The Good Cop,7.1,58/100
The Uncanny Counter,8.2,58/100
Law School,8.2,58/100
This is a Robbery: The World's Biggest Art Heist,6.4,58/100
The English Game,7.6,58/100
Chambers,6.5,58/100
Selena: The Series,6.8,58/100
BAKI,6.7,58/100
Cells at Work!,7.6,58/100
Reckoning,6.6,58/100
The Mole,7.5,58/100
The Ripper,7.1,58/100
Queen Sono,5.9,58/100
WWII in HD,8.7,58/100
The Parisian Agency: Exclusive Properties,6.9,58/100
La cocinera de Castamar,7.4,58/100
I Am a Killer,7.4,58/100
W1A,7.8,58/100
One of Us,7.0,58/100
Cuckoo,7.2,58/100
March Comes in Like a Lion,8.4,58/100
Börü,8.2,58/100
The Mess You Leave Behind,6.8,58/100
Elize Matsunaga: Once Upon a Crime,5.8,58/100
Invisible City,7.4,58/100
High Seas,6.8,58/100
Man Down,7.6,58/100
Hitler's Circle of Evil,8.0,58/100
Degrassi: Next Class,6.9,58/100
The Forest,7.2,58/100
The Woods,6.5,58/100
This Is Pop,6.9,58/100
Godzilla Singular Point,6.6,58/100
My Babysitter's a Vampire,7.1,58/100
Mad for Each Other,7.9,58/100
Typewriter,6.5,57/100
Sonic X,6.2,57/100
Monthly Girls' Nozaki-kun,7.6,57/100
History of Swear Words,6.4,57/100
Dolly Parton's Heartstrings,7.6,57/100
Arthdal Chronicles,8.4,57/100
Last Chance U: Basketball,8.4,57/100
The Next Step,6.2,57/100
The Bride of the Water God,6.9,57/100
Midnight Diner: Tokyo Stories,8.4,57/100
Immigration Nation,7.4,57/100
My Unorthodox Life,4.9,57/100
The Barrier,6.8,57/100
Cannon Busters,6.8,57/100
Something in the Rain,8.1,57/100
Haters Back Off,6.0,57/100
Young Wallander,6.8,57/100
Toy Boy,6.4,57/100
Aunty Donna's Big Ol' House of Fun,8.0,57/100
Jack Whitehall: Travels with My Father,7.7,57/100
Sofia the First,6.9,57/100
"Money, Explained",6.9,57/100
The Joel McHale Show with Joel McHale,7.2,57/100
America's Book of Secrets,6.8,57/100
The World's Most Amazing Vacation Rentals,6.6,57/100
Kiss Me First,6.3,57/100
A Very Secret Service,7.8,57/100
Sexy Beasts,4.7,57/100
Scissor Seven,8.3,57/100
Summertime,5.5,57/100
Turn Up Charlie,7.1,57/100
The K2,7.8,57/100
The King's Avatar,7.7,57/100
Prison Playbook,8.4,57/100
The Twelve,7.5,57/100
Vanished 46,8.4,57/100
Valor,6.0,57/100
Northern Rescue,7.1,57/100
Equinox,6.1,57/100
Oggy and the Cockroaches,7.3,57/100
Code Lyoko,7.3,57/100
Champions,6.1,57/100
Winx Club,6.2,57/100
Dragons: Race to the Edge,8.3,57/100
Age of Samurai: Battle for Japan,7.4,56/100
Vexed,7.3,56/100
Family Business,7.4,56/100
Strangers From Hell,7.9,56/100
BUNK'D,5.4,56/100
Cathedral of the Sea,7.5,56/100
Iris,7.9,56/100
Man to Man,7.4,56/100
History 101,6.8,56/100
Cat People,6.3,56/100
Cinderella and Four Knights,7.3,56/100
The Big Flower Fight,7.4,56/100
Cooked,8.1,56/100
Monarca,7.9,56/100
Indian Matchmaking,6.2,56/100
Perfume,7.1,56/100
Avlu,7.2,56/100
Wild District,8.3,56/100
Magic for Humans,7.2,56/100
50M2,7.0,56/100
Mako Mermaids: An H2O Adventure,6.8,56/100
Extracurricular,7.7,56/100
Tunnel,8.3,56/100
Marseille,6.9,56/100
Elite Short Stories: Nadia Guzmán,6.4,56/100
The World's Most Extraordinary Homes,7.6,56/100
The Rise of Phoenixes,8.6,56/100
Wakfu,8.2,56/100
H,7.4,56/100
The War Next-door,5.7,56/100
How to Fix a Drug Scandal,7.0,56/100
Betaal,5.4,56/100
Sin Senos Sí Hay Paraíso,6.7,56/100
Japan Sinks: 2020,6.4,56/100
Run On,7.6,56/100
Girlfriends,7.2,56/100
Mobile Suit Gundam: Iron-Blooded Orphans,7.9,56/100
Curon,5.8,56/100
The Method,7.4,56/100
Amend: The Fight for America,7.9,56/100
Reply 1997,8.1,56/100
The Crew,6.6,56/100
Sex Explained,6.9,56/100
Unauthorized Living,7.5,56/100
James Acaster: Repertoire,8.5,56/100
Blood & Water,6.4,56/100
Adventures of Sonic the Hedgehog,6.2,55/100
Tales by Light,8.3,55/100
Tiny Pretty Things,5.9,55/100
Rust Valley Restorers,7.8,55/100
Immortals,5.3,55/100
Cheese in the Trap,7.4,55/100
Terrace House: Boys & Girls in the City,8.1,55/100
When the Camellia Blooms,8.0,55/100
My Secret Romance,7.1,55/100
Marlon,7.1,55/100
The Bonfire of Destiny,7.7,55/100
100 Days My Prince,7.7,55/100
Let's Eat,7.7,55/100
Kung Fu Panda: Legends of Awesomeness,6.8,55/100
Crime Scene: The Vanishing at the Cecil Hotel,5.9,55/100
PJ Masks,5.5,55/100
Incomplete Life,8.6,55/100
Fabulous Lives of Bollywood Wives,4.7,55/100
When Heroes Fly,7.2,55/100
The Last O.G.,6.9,55/100
Romance is a Bonus Book,8.1,55/100
DC Super Hero Girls,7.1,55/100
Wheel of Fortune,6.7,55/100
